feature	n	type	author	genre
POS_SCONJ	53.0	narrative	12tab	unk
POS_SCONJ	58.0	narrative	apuleius	novel
POS_SCONJ	45.0	speech	apuleius	novel
POS_SCONJ	69.0	narrative	apuleius	novel
POS_SCONJ	45.0	speech	apuleius	novel
POS_SCONJ	55.0	narrative	apuleius	novel
POS_SCONJ	58.0	speech	apuleius	novel
POS_SCONJ	72.0	narrative	apuleius	novel
POS_SCONJ	24.0	speech	apuleius	novel
POS_SCONJ	49.0	narrative	apuleius	novel
POS_SCONJ	60.0	speech	apuleius	novel
POS_SCONJ	37.0	narrative	apuleius	novel
POS_SCONJ	40.0	speech	apuleius	novel
POS_SCONJ	65.0	narrative	apuleius	novel
POS_SCONJ	23.0	speech	apuleius	novel
POS_SCONJ	55.0	narrative	apuleius	novel
POS_SCONJ	29.0	speech	apuleius	novel
POS_SCONJ	119.0	narrative	apuleius	novel
POS_SCONJ	21.0	speech	apuleius	novel
POS_SCONJ	117.0	narrative	apuleius	novel
POS_SCONJ	22.0	speech	apuleius	novel
POS_SCONJ	60.0	narrative	apuleius	novel
POS_SCONJ	18.0	speech	apuleius	novel
POS_SCONJ	1001.0	narrative	apuleius	unk
POS_SCONJ	21.0	speech	apuleius	unk
POS_SCONJ	75.0	narrative	apuleius	unk
POS_SCONJ	96.0	speech	apuleius	unk
POS_SCONJ	180.0	narrative	apuleius	unk
POS_SCONJ	3.0	speech	apuleius	unk
POS_SCONJ	104.0	narrative	apuleius	unk
POS_SCONJ	197.0	narrative	apuleius	unk
POS_SCONJ	302.0	narrative	apuleius	unk
POS_SCONJ	14.0	speech	apuleius	unk
POS_SCONJ	181.0	narrative	apuleius	unk
POS_SCONJ	3.0	speech	apuleius	unk
POS_SCONJ	621.0	narrative	asconius_pedianus	unk
POS_SCONJ	5.0	speech	asconius_pedianus	unk
POS_SCONJ	34.0	narrative	augustus	autobiography
POS_SCONJ	37.0	narrative	augustus	autobiography
POS_SCONJ	279.0	narrative	calpurnius_flaccus	unk
POS_SCONJ	4.0	speech	calpurnius_flaccus	unk
POS_SCONJ	703.0	narrative	cato_the_elder	unk
POS_SCONJ	11.0	speech	cato_the_elder	unk
POS_SCONJ	40.0	narrative	cato_the_elder	unk
POS_SCONJ	1.0	speech	cato_the_elder	unk
POS_SCONJ	383.0	narrative	catullus	unk
POS_SCONJ	33.0	speech	catullus	unk
POS_SCONJ	153.0	narrative	cicero	unk
POS_SCONJ	59.0	speech	cicero	unk
POS_SCONJ	414.0	narrative	cicero	unk
POS_SCONJ	82.0	narrative	cicero	unk
POS_SCONJ	523.0	narrative	cicero	unk
POS_SCONJ	5.0	speech	cicero	unk
POS_SCONJ	106.0	narrative	cicero	unk
POS_SCONJ	4.0	speech	cicero	unk
POS_SCONJ	428.0	narrative	cicero	unk
POS_SCONJ	8.0	speech	cicero	unk
POS_SCONJ	458.0	narrative	cicero	unk
POS_SCONJ	15.0	speech	cicero	unk
POS_SCONJ	395.0	narrative	cicero	unk
POS_SCONJ	296.0	narrative	cicero	unk
POS_SCONJ	385.0	narrative	cicero	unk
POS_SCONJ	2.0	speech	cicero	unk
POS_SCONJ	278.0	narrative	cicero	unk
POS_SCONJ	10.0	speech	cicero	unk
POS_SCONJ	454.0	narrative	cicero	unk
POS_SCONJ	19.0	speech	cicero	unk
POS_SCONJ	273.0	narrative	cicero	unk
POS_SCONJ	10.0	speech	cicero	unk
POS_SCONJ	455.0	narrative	cicero	unk
POS_SCONJ	17.0	speech	cicero	unk
POS_SCONJ	352.0	narrative	cicero	unk
POS_SCONJ	7.0	speech	cicero	unk
POS_SCONJ	361.0	narrative	cicero	unk
POS_SCONJ	8.0	speech	cicero	unk
POS_SCONJ	577.0	narrative	cicero	unk
POS_SCONJ	3.0	speech	cicero	unk
POS_SCONJ	511.0	narrative	cicero	unk
POS_SCONJ	14.0	speech	cicero	unk
POS_SCONJ	316.0	narrative	cicero	unk
POS_SCONJ	11.0	speech	cicero	unk
POS_SCONJ	322.0	narrative	cicero	unk
POS_SCONJ	21.0	speech	cicero	unk
POS_SCONJ	374.0	narrative	cicero	unk
POS_SCONJ	13.0	speech	cicero	unk
POS_SCONJ	333.0	narrative	cicero	unk
POS_SCONJ	1.0	speech	cicero	unk
POS_SCONJ	1097.0	narrative	cicero	unk
POS_SCONJ	9.0	speech	cicero	unk
POS_SCONJ	258.0	narrative	cicero	unk
POS_SCONJ	12.0	speech	cicero	unk
POS_SCONJ	569.0	narrative	cicero	unk
POS_SCONJ	26.0	speech	cicero	unk
POS_SCONJ	346.0	narrative	cicero	unk
POS_SCONJ	18.0	speech	cicero	unk
POS_SCONJ	126.0	narrative	cicero	unk
POS_SCONJ	13.0	speech	cicero	unk
POS_SCONJ	146.0	narrative	cicero	unk
POS_SCONJ	123.0	narrative	cicero	unk
POS_SCONJ	3.0	speech	cicero	unk
POS_SCONJ	89.0	narrative	cicero	unk
POS_SCONJ	857.0	narrative	cicero	unk
POS_SCONJ	23.0	speech	cicero	unk
POS_SCONJ	236.0	narrative	cicero	unk
POS_SCONJ	10.0	narrative	cicero	unk
POS_SCONJ	141.0	narrative	cicero	unk
POS_SCONJ	6.0	speech	cicero	unk
POS_SCONJ	489.0	narrative	cicero	unk
POS_SCONJ	59.0	speech	cicero	unk
POS_SCONJ	653.0	narrative	cicero	unk
POS_SCONJ	35.0	speech	cicero	unk
POS_SCONJ	643.0	narrative	cicero	unk
POS_SCONJ	4.0	speech	cicero	unk
POS_SCONJ	355.0	narrative	cicero	unk
POS_SCONJ	2.0	speech	cicero	unk
POS_SCONJ	309.0	narrative	cicero	unk
POS_SCONJ	1.0	speech	cicero	unk
POS_SCONJ	384.0	narrative	cicero	unk
POS_SCONJ	23.0	speech	cicero	unk
POS_SCONJ	324.0	narrative	cicero	unk
POS_SCONJ	2.0	speech	cicero	unk
POS_SCONJ	474.0	narrative	cicero	unk
POS_SCONJ	402.0	narrative	cicero	unk
POS_SCONJ	4.0	speech	cicero	unk
POS_SCONJ	434.0	narrative	cicero	unk
POS_SCONJ	3.0	speech	cicero	unk
POS_SCONJ	336.0	narrative	cicero	unk
POS_SCONJ	3.0	speech	cicero	unk
POS_SCONJ	437.0	narrative	cicero	unk
POS_SCONJ	8.0	speech	cicero	unk
POS_SCONJ	490.0	narrative	cicero	unk
POS_SCONJ	344.0	narrative	cicero	unk
POS_SCONJ	1.0	speech	cicero	unk
POS_SCONJ	386.0	narrative	cicero	unk
POS_SCONJ	742.0	narrative	cicero	unk
POS_SCONJ	21.0	speech	cicero	unk
POS_SCONJ	201.0	narrative	cicero	unk
POS_SCONJ	334.0	narrative	cicero	unk
POS_SCONJ	20.0	speech	cicero	unk
POS_SCONJ	282.0	narrative	cicero	unk
POS_SCONJ	263.0	narrative	cicero	unk
POS_SCONJ	43.0	speech	cicero	unk
POS_SCONJ	375.0	narrative	cicero	unk
POS_SCONJ	4.0	speech	cicero	unk
POS_SCONJ	664.0	narrative	cicero	unk
POS_SCONJ	35.0	speech	cicero	unk
POS_SCONJ	468.0	narrative	cicero	unk
