	type	feature	n
0	narrative	MORPH_CASE_ABL	32380.0
1	narrative	MORPH_CASE_ACC	45246.0
2	narrative	MORPH_CASE_DAT	5270.0
3	narrative	MORPH_CASE_GEN	10998.0
4	narrative	MORPH_CASE_LOC	44.0
5	narrative	MORPH_CASE_NOM	42224.0
6	narrative	MORPH_CASE_VOC	443.0
7	narrative	MORPH_GENDER_FEM	44266.0
8	narrative	MORPH_GENDER_MASC	56444.0
9	narrative	MORPH_GENDER_NEUT	34119.0
10	narrative	MORPH_MOOD_GDV	235.0
11	narrative	MORPH_MOOD_GER	257.0
12	narrative	MORPH_MOOD_IMP	535.0
13	narrative	MORPH_MOOD_IND	28229.0
14	narrative	MORPH_MOOD_SUB	2551.0
15	narrative	MORPH_NUMBER_PLUR	56010.0
16	narrative	MORPH_NUMBER_SING	112022.0
17	narrative	MORPH_PERSON_1	1298.0
18	narrative	MORPH_PERSON_2	1802.0
19	narrative	MORPH_PERSON_3	29765.0
20	narrative	MORPH_TENSE_FUT	1227.0
21	narrative	MORPH_TENSE_PAST	19748.0
22	narrative	MORPH_TENSE_PQP	1282.0
23	narrative	MORPH_TENSE_PRES	29173.0
24	narrative	MORPH_VERBFORM_FIN	31316.0
25	narrative	MORPH_VERBFORM_INF	4546.0
26	narrative	MORPH_VERBFORM_PART	15571.0
27	narrative	MORPH_VERBFORM_SUP	44.0
28	narrative	MORPH_VOICE_ACT	35909.0
29	narrative	MORPH_VOICE_PASS	13653.0
30	narrative	POS_ADJ	26957.0
31	narrative	POS_ADP	9058.0
32	narrative	POS_ADV	12384.0
33	narrative	POS_AUX	1880.0
34	narrative	POS_CCONJ	22762.0
35	narrative	POS_DET	9246.0
36	narrative	POS_INTJ	249.0
37	narrative	POS_NOUN	67421.0
38	narrative	POS_PART	2035.0
39	narrative	POS_PRON	4888.0
40	narrative	POS_PROPN	12429.0
41	narrative	POS_SCONJ	3646.0
42	narrative	POS_VERB	49529.0
43	speech	MORPH_CASE_ABL	14719.0
44	speech	MORPH_CASE_ACC	26101.0
45	speech	MORPH_CASE_DAT	4474.0
46	speech	MORPH_CASE_GEN	6335.0
47	speech	MORPH_CASE_LOC	43.0
48	speech	MORPH_CASE_NOM	23398.0
49	speech	MORPH_CASE_VOC	948.0
50	speech	MORPH_GENDER_FEM	24454.0
51	speech	MORPH_GENDER_MASC	28598.0
52	speech	MORPH_GENDER_NEUT	19286.0
53	speech	MORPH_MOOD_GDV	250.0
54	speech	MORPH_MOOD_GER	149.0
55	speech	MORPH_MOOD_IMP	2139.0
56	speech	MORPH_MOOD_IND	14040.0
57	speech	MORPH_MOOD_SUB	2995.0
58	speech	MORPH_NUMBER_PLUR	31106.0
59	speech	MORPH_NUMBER_SING	64108.0
60	speech	MORPH_PERSON_1	5227.0
61	speech	MORPH_PERSON_2	5916.0
62	speech	MORPH_PERSON_3	11811.0
63	speech	MORPH_TENSE_FUT	2308.0
64	speech	MORPH_TENSE_PAST	9147.0
65	speech	MORPH_TENSE_PQP	416.0
66	speech	MORPH_TENSE_PRES	17117.0
67	speech	MORPH_VERBFORM_FIN	19176.0
68	speech	MORPH_VERBFORM_INF	3281.0
69	speech	MORPH_VERBFORM_PART	6534.0
70	speech	MORPH_VERBFORM_SUP	15.0
71	speech	MORPH_VOICE_ACT	20235.0
72	speech	MORPH_VOICE_PASS	6908.0
73	speech	POS_ADJ	13645.0
74	speech	POS_ADP	4522.0
75	speech	POS_ADV	7219.0
76	speech	POS_AUX	1854.0
77	speech	POS_CCONJ	11450.0
78	speech	POS_DET	7615.0
79	speech	POS_INTJ	685.0
80	speech	POS_NOUN	35667.0
81	speech	POS_PART	1772.0
82	speech	POS_PRON	6683.0
83	speech	POS_PROPN	6030.0
84	speech	POS_SCONJ	2655.0
85	speech	POS_VERB	27110.0
