type	feature	n
ennius_narrative	MORPH_CASE_ABL	147.0
ennius_narrative	MORPH_CASE_ACC	172.0
ennius_narrative	MORPH_CASE_DAT	31.0
ennius_narrative	MORPH_CASE_GEN	61.0
ennius_narrative	MORPH_CASE_LOC	0.0
ennius_narrative	MORPH_CASE_NOM	225.0
ennius_narrative	MORPH_CASE_VOC	6.0
ennius_narrative	MORPH_GENDER_FEM	173.0
ennius_narrative	MORPH_GENDER_MASC	289.0
ennius_narrative	MORPH_GENDER_NEUT	152.0
ennius_narrative	MORPH_MOOD_GDV	4.0
ennius_narrative	MORPH_MOOD_GER	3.0
ennius_narrative	MORPH_MOOD_IMP	4.0
ennius_narrative	MORPH_MOOD_IND	132.0
ennius_narrative	MORPH_MOOD_SUB	21.0
ennius_narrative	MORPH_NUMBER_PLUR	253.0
ennius_narrative	MORPH_NUMBER_SING	556.0
ennius_narrative	MORPH_PERSON_1	28.0
ennius_narrative	MORPH_PERSON_2	10.0
ennius_narrative	MORPH_PERSON_3	143.0
ennius_narrative	MORPH_TENSE_FUT	11.0
ennius_narrative	MORPH_TENSE_PAST	74.0
ennius_narrative	MORPH_TENSE_PQP	1.0
ennius_narrative	MORPH_TENSE_PRES	141.0
ennius_narrative	MORPH_VERBFORM_FIN	157.0
ennius_narrative	MORPH_VERBFORM_INF	16.0
ennius_narrative	MORPH_VERBFORM_PART	54.0
ennius_narrative	MORPH_VERBFORM_SUP	1.0
ennius_narrative	MORPH_VOICE_ACT	150.0
ennius_narrative	MORPH_VOICE_PASS	61.0
ennius_narrative	POS_ADJ	116.0
ennius_narrative	POS_ADP	60.0
ennius_narrative	POS_ADV	65.0
ennius_narrative	POS_AUX	16.0
ennius_narrative	POS_CCONJ	79.0
ennius_narrative	POS_DET	36.0
ennius_narrative	POS_INTJ	3.0
ennius_narrative	POS_NOUN	296.0
ennius_narrative	POS_PART	11.0
ennius_narrative	POS_PRON	53.0
ennius_narrative	POS_PROPN	90.0
ennius_narrative	POS_SCONJ	23.0
ennius_narrative	POS_VERB	212.0
ennius_speech	MORPH_CASE_ABL	14.0
ennius_speech	MORPH_CASE_ACC	26.0
ennius_speech	MORPH_CASE_DAT	2.0
ennius_speech	MORPH_CASE_GEN	3.0
ennius_speech	MORPH_CASE_LOC	0.0
ennius_speech	MORPH_CASE_NOM	26.0
ennius_speech	MORPH_CASE_VOC	5.0
ennius_speech	MORPH_GENDER_FEM	19.0
ennius_speech	MORPH_GENDER_MASC	29.0
ennius_speech	MORPH_GENDER_NEUT	20.0
ennius_speech	MORPH_MOOD_GDV	1.0
ennius_speech	MORPH_MOOD_GER	0.0
ennius_speech	MORPH_MOOD_IMP	0.0
ennius_speech	MORPH_MOOD_IND	13.0
ennius_speech	MORPH_MOOD_SUB	1.0
ennius_speech	MORPH_NUMBER_PLUR	18.0
ennius_speech	MORPH_NUMBER_SING	72.0
ennius_speech	MORPH_PERSON_1	7.0
ennius_speech	MORPH_PERSON_2	5.0
ennius_speech	MORPH_PERSON_3	10.0
ennius_speech	MORPH_TENSE_FUT	1.0
ennius_speech	MORPH_TENSE_PAST	16.0
ennius_speech	MORPH_TENSE_PQP	0.0
ennius_speech	MORPH_TENSE_PRES	10.0
ennius_speech	MORPH_VERBFORM_FIN	14.0
ennius_speech	MORPH_VERBFORM_INF	7.0
ennius_speech	MORPH_VERBFORM_PART	6.0
ennius_speech	MORPH_VERBFORM_SUP	0.0
ennius_speech	MORPH_VOICE_ACT	20.0
ennius_speech	MORPH_VOICE_PASS	7.0
ennius_speech	POS_ADJ	9.0
ennius_speech	POS_ADP	7.0
ennius_speech	POS_ADV	5.0
ennius_speech	POS_AUX	0.0
ennius_speech	POS_CCONJ	9.0
ennius_speech	POS_DET	10.0
ennius_speech	POS_INTJ	4.0
ennius_speech	POS_NOUN	38.0
ennius_speech	POS_PART	1.0
ennius_speech	POS_PRON	9.0
ennius_speech	POS_PROPN	4.0
ennius_speech	POS_SCONJ	1.0
ennius_speech	POS_VERB	27.0
Valerius Flaccus_narrative	MORPH_CASE_ABL	3525.0
Valerius Flaccus_narrative	MORPH_CASE_ACC	5262.0
Valerius Flaccus_narrative	MORPH_CASE_DAT	586.0
Valerius Flaccus_narrative	MORPH_CASE_GEN	1312.0
Valerius Flaccus_narrative	MORPH_CASE_LOC	1.0
Valerius Flaccus_narrative	MORPH_CASE_NOM	5075.0
Valerius Flaccus_narrative	MORPH_CASE_VOC	55.0
Valerius Flaccus_narrative	MORPH_GENDER_FEM	5274.0
Valerius Flaccus_narrative	MORPH_GENDER_MASC	6695.0
Valerius Flaccus_narrative	MORPH_GENDER_NEUT	3655.0
Valerius Flaccus_narrative	MORPH_MOOD_GDV	22.0
Valerius Flaccus_narrative	MORPH_MOOD_GER	6.0
Valerius Flaccus_narrative	MORPH_MOOD_IMP	66.0
Valerius Flaccus_narrative	MORPH_MOOD_IND	3135.0
Valerius Flaccus_narrative	MORPH_MOOD_SUB	287.0
Valerius Flaccus_narrative	MORPH_NUMBER_PLUR	6587.0
Valerius Flaccus_narrative	MORPH_NUMBER_SING	12717.0
Valerius Flaccus_narrative	MORPH_PERSON_1	60.0
Valerius Flaccus_narrative	MORPH_PERSON_2	208.0
Valerius Flaccus_narrative	MORPH_PERSON_3	3396.0
Valerius Flaccus_narrative	MORPH_TENSE_FUT	101.0
Valerius Flaccus_narrative	MORPH_TENSE_PAST	1759.0
Valerius Flaccus_narrative	MORPH_TENSE_PQP	144.0
Valerius Flaccus_narrative	MORPH_TENSE_PRES	3583.0
Valerius Flaccus_narrative	MORPH_VERBFORM_FIN	3488.0
Valerius Flaccus_narrative	MORPH_VERBFORM_INF	445.0
Valerius Flaccus_narrative	MORPH_VERBFORM_PART	1654.0
Valerius Flaccus_narrative	MORPH_VERBFORM_SUP	4.0
Valerius Flaccus_narrative	MORPH_VOICE_ACT	4193.0
Valerius Flaccus_narrative	MORPH_VOICE_PASS	1346.0
Valerius Flaccus_narrative	POS_ADJ	3319.0
Valerius Flaccus_narrative	POS_ADP	994.0
Valerius Flaccus_narrative	POS_ADV	1706.0
Valerius Flaccus_narrative	POS_AUX	48.0
Valerius Flaccus_narrative	POS_CCONJ	2798.0
Valerius Flaccus_narrative	POS_DET	1182.0
Valerius Flaccus_narrative	POS_INTJ	37.0
Valerius Flaccus_narrative	POS_NOUN	7569.0
Valerius Flaccus_narrative	POS_PART	234.0
Valerius Flaccus_narrative	POS_PRON	527.0
Valerius Flaccus_narrative	POS_PROPN	1570.0
Valerius Flaccus_narrative	POS_SCONJ	422.0
Valerius Flaccus_narrative	POS_VERB	5504.0
Valerius Flaccus_speech	MORPH_CASE_ABL	1368.0
Valerius Flaccus_speech	MORPH_CASE_ACC	2740.0
Valerius Flaccus_speech	MORPH_CASE_DAT	570.0
Valerius Flaccus_speech	MORPH_CASE_GEN	631.0
Valerius Flaccus_speech	MORPH_CASE_LOC	1.0
