type	feature	n	log_odds_weighted	log_odds_weighted_scaled
speech	ego	1481	13.796574080943	0.9999999999999999
speech	tu	1531	12.8211593681017	0.9435152596583698
speech	meus	518	8.21409117918952	0.6767271469090108
speech	noster	461	7.50864400609288	0.6358758045286712
speech	tuus	495	7.25857272433435	0.6213945677469502
speech	si	638	6.66338864262635	0.5869283885227111
speech	o	355	6.57622447566395	0.5818808479503284
speech	nos	308	6.0902759477732	0.5537403287886368
speech	sum	1851	5.51377962594889	0.5203563285091075
speech	quis	576	5.3012586241929	0.5080495697086759
speech	uos	238	5.16807662255842	0.5003372083084782
speech	hic	1681	4.66866851441697	0.47141726590705146
speech	iste	142	4.05266041187828	0.4357452002080596
speech	ne	217	3.74500134927484	0.4179291451125979
speech	uester	124	3.73256045000628	0.4172087120951852
speech	nunc	519	3.72860495874222	0.4169796557830006
speech	cur	114	3.60195050026589	0.40964529419714124
speech	qui	1994	3.53973587626155	0.40604254263303907
speech	equidem	68	3.20798599075204	0.38683142566435436
speech	non	966	3.20705043357212	0.38677724901140176
speech	licet	128	3.12898173005187	0.38225641250043296
speech	heu	122	2.83578579111606	0.3652778942743048
speech	possum	298	2.8152196750632	0.3640869426618385
speech	nascor	222	2.81323975101053	0.36397228835681433
speech	reor	48	2.61613189357642	0.3525580806358445
speech	certe	53	2.53085867179128	0.3476200417409857
speech	an	105	2.51725001497192	0.3468319857103351
speech	utinam	45	2.46208148700483	0.3436372625467139
speech	neque	1053	2.43892037232185	0.3422960386225022
speech	regnum	203	2.42402876402529	0.34143368887851455
speech	tantus	242	2.40548789291107	0.34036001603269117
speech	mecus	45	2.35714284579909	0.3375604299725531
speech	quod	189	2.34564695711645	0.33689472104004814
speech	patria	180	2.33306537930785	0.3361661415484218
speech	aut	374	2.32589202480535	0.3357507438092674
speech	satis	115	2.32186055171843	0.33551728750856674
speech	quicumque	90	2.27750284856513	0.33294860230033685
speech	deus	429	2.2213887034716	0.32969911992799505
speech	gens	210	2.19942177004595	0.32842704917253623
speech	mereo	82	2.1929694630726	0.32805340616798023
speech	da	39	2.19063686871839	0.3279183292774174
speech	maneo	144	2.15989831371445	0.3261383076363485
speech	pro	140	2.1268934906166	0.3242270499547076
speech	do	595	2.11248981191819	0.3233929554505617
speech	dignus	104	2.10970958805649	0.32323195703537244
speech	misereor	27	2.09364783317365	0.32230184593283906
speech	precor	129	2.09026479276583	0.32210593935434967
speech	nefas	77	2.0736621091559	0.3211445039153153
speech	fatum	243	2.06338243630475	0.32054922413928777
speech	salto	34	2.05143539147028	0.3198573894596989
speech	neue	60	2.02483672934455	0.3183171025398613
speech	numen	151	2.01538910761354	0.3177700055427619
speech	aspicio	79	2.01512170302462	0.31775452056127407
speech	tecum	38	1.98986110321622	0.3162917187373247
speech	nempe	29	1.9675100916388	0.3149974066168464
speech	quin	76	1.9235608526079	0.31245237492705225
speech	quisquis	46	1.92035385347801	0.3122666626236157
speech	fas	61	1.91656884541091	0.3120474787267085
speech	felix	82	1.90597479377792	0.3114339937671551
speech	imperium	74	1.8910037792525	0.31056704573265614
speech	fortuna	112	1.85806165283504	0.30865941871771063
speech	scilicet	33	1.83654501477971	0.30741342386282483
speech	poena	110	1.82798577002507	0.3069177713868867
speech	oro	101	1.81442825647091	0.30613267698272895
speech	uinco	170	1.80620231878266	0.3056563257976686
speech	pudeo	43	1.80415465362229	0.30553774871105366
speech	solus	166	1.80329865099791	0.3054881789379783
speech	diuus	153	1.77396351719187	0.30378942722334146
speech	genus	121	1.77048138416819	0.3035877823464617
speech	italia	41	1.76907839670751	0.30350653753707374
speech	spes	115	1.76359302282046	0.3031888881151327
speech	habeo	183	1.75893756535847	0.3029192978552667
speech	egomet	21	1.74529471799035	0.30212926190341605
speech	parco	50	1.74390704275915	0.3020489038012868
speech	ago	266	1.73343435874736	0.3014424470508419
speech	mecum	28	1.73068064903743	0.30128298402870995
speech	tuno	19	1.73000964893741	0.30124412746245166
speech	gloria	68	1.72886003761466	0.301177555268897
speech	cerno	135	1.72098891067174	0.3007217506191273
speech	carus	69	1.70143911103939	0.29958965230091805
speech	ciuis	26	1.70002570226417	0.29950780400950533
speech	ullus	138	1.69900916031741	0.29944893765537595
speech	nihil	102	1.68145761960529	0.29843255538569313
speech	crudelis	58	1.67581029421082	0.2981055276052713
speech	quantus	78	1.67495313638286	0.2980558909361636
speech	impius	55	1.67142539422396	0.29785160490560203
speech	quaenus	21	1.666181929791	0.29754796408176865
speech	credo	143	1.63484453015813	0.29573326428491153
speech	fallo	78	1.62117245242717	0.2949415356484689
speech	inquio	28	1.61020334863413	0.29430633200495876
speech	anima	116	1.60334842926159	0.29390937434610526
speech	melior	48	1.59148357285311	0.29322229906971176
speech	sin	18	1.59107541703485	0.2931986634046866
speech	tantum	113	1.56673536273071	0.2917891689310327
speech	quare	14	1.56226818784405	0.2915304818206049
speech	pignus	39	1.55232497351306	0.29095468583121376
speech	socer	42	1.54993474150114	0.29081627123404585
