...1	type	feature	n	log_odds_weighted	log_odds_weighted_scaled
62	speech	MORPH_PERSON_2	5916	24.2661284786455	1.0
61	speech	MORPH_PERSON_1	5227	24.0959369595936	0.9952667098939199
84	speech	POS_PRON	6683	16.2417444933715	0.7768294358233937
56	speech	MORPH_MOOD_IMP	2139	15.3373319489193	0.7516763202491388
64	speech	MORPH_TENSE_FUT	2308	11.9289024682612	0.6568826100340522
58	speech	MORPH_MOOD_SUB	2995	9.28539395579181	0.5833625383106512
80	speech	POS_DET	7615	8.3193801983693	0.5564961974623097
50	speech	MORPH_CASE_VOC	948	8.17690076822596	0.5525336235292821
81	speech	POS_INTJ	685	7.73727273073645	0.5403068859585927
46	speech	MORPH_CASE_DAT	4474	6.81056148301964	0.51453360886202
78	speech	POS_AUX	1854	5.7810003142412	0.48589991594400034
83	speech	POS_PART	1772	4.50882485165808	0.4505187432287697
70	speech	MORPH_VERBFORM_INF	3281	3.61206936444853	0.42557858229226775
86	speech	POS_SCONJ	2655	3.35864747170007	0.4185305264062126
69	speech	MORPH_VERBFORM_FIN	19176	2.99273644695605	0.40835397329255013
54	speech	MORPH_MOOD_GDV	250	2.36513874536643	0.3908995078286926
67	speech	MORPH_TENSE_PRES	17117	1.27747290070156	0.3606498337558989
48	speech	MORPH_CASE_LOC	43	0.865410286434388	0.3491897333580548
45	speech	MORPH_CASE_ACC	26101	0.827448395266422	0.348133954287074
60	speech	MORPH_NUMBER_SING	64108	0.781010758200811	0.3468424515770866
77	speech	POS_ADV	7219	0.661991766192597	0.34353234881493705
47	speech	MORPH_CASE_GEN	6335	0.359048462088131	0.33510702567304973
55	speech	MORPH_MOOD_GER	149	0.0758436392616799	0.32723066030921594
53	speech	MORPH_GENDER_NEUT	19286	-0.0973991710774654	0.3224125090599886
73	speech	MORPH_VOICE_ACT	20235	-0.225570994417035	0.3188478518627845
72	speech	MORPH_VERBFORM_SUP	15	-0.593851271115015	0.3086054061776534
49	speech	MORPH_CASE_NOM	23398	-0.983095583166522	0.29777991815483623
59	speech	MORPH_NUMBER_PLUR	31106	-1.03793682542714	0.29625469815067035
51	speech	MORPH_GENDER_FEM	24454	-1.14727811720165	0.29321374724180344
87	speech	POS_VERB	27110	-1.65983757838294	0.27895867366409255
76	speech	POS_ADP	4522	-2.40891773518285	0.2581255927056882
74	speech	MORPH_VOICE_PASS	6908	-2.66843414335882	0.25090803889320823
85	speech	POS_PROPN	6030	-3.44132814408465	0.22941265800076355
66	speech	MORPH_TENSE_PQP	416	-3.46737093765588	0.2286883675200622
79	speech	POS_CCONJ	11450	-3.65269280435946	0.22353427897913508
75	speech	POS_ADJ	13645	-3.79192922520653	0.2196618981644337
82	speech	POS_NOUN	35667	-3.88038534059192	0.21720179640314513
57	speech	MORPH_MOOD_IND	14040	-4.46635438125951	0.20090508856416384
65	speech	MORPH_TENSE_PAST	9147	-5.59668848269412	0.1694687440935913
52	speech	MORPH_GENDER_MASC	28598	-5.627275105666	0.16861808266993328
71	speech	MORPH_VERBFORM_PART	6534	-7.15018361276151	0.1262636351084046
44	speech	MORPH_CASE_ABL	14719	-7.89413432666373	0.10557321191257618
63	speech	MORPH_PERSON_3	11811	-11.6901546220411	0.0
