"...1"	"type"	"feature"	"n"	"log_odds_weighted"
"1"	0	"narrative"	"MORPH_CASE_ABL"	32380	6.91131236913149
"2"	1	"narrative"	"MORPH_CASE_ACC"	45246	-0.732092245462061
"3"	2	"narrative"	"MORPH_CASE_DAT"	5270	-6.15035159548732
"4"	3	"narrative"	"MORPH_CASE_GEN"	10998	-0.317684901773763
"5"	4	"narrative"	"MORPH_CASE_LOC"	44	-0.788016820396403
"6"	5	"narrative"	"MORPH_CASE_NOM"	42224	0.86829197487072
"7"	6	"narrative"	"MORPH_CASE_VOC"	443	-7.75921917339168
"8"	7	"narrative"	"MORPH_GENDER_FEM"	44266	1.01317628474222
"9"	8	"narrative"	"MORPH_GENDER_MASC"	56444	4.95250206284306
"10"	9	"narrative"	"MORPH_GENDER_NEUT"	34119	0.0860990419772237
"11"	10	"narrative"	"MORPH_MOOD_GDV"	235	-2.16375366501152
"12"	11	"narrative"	"MORPH_MOOD_GER"	257	-0.0671308204691502
"13"	12	"narrative"	"MORPH_MOOD_IMP"	535	-14.9275699984999
"14"	13	"narrative"	"MORPH_MOOD_IND"	28229	3.92524418508831
"15"	14	"narrative"	"MORPH_MOOD_SUB"	2551	-8.53749601408619
"16"	15	"narrative"	"MORPH_NUMBER_PLUR"	56010	0.916866658312208
"17"	16	"narrative"	"MORPH_NUMBER_SING"	112022	-0.690671071859373
"18"	17	"narrative"	"MORPH_PERSON_1"	1298	-23.4384468011024
"19"	18	"narrative"	"MORPH_PERSON_2"	1802	-23.4260651503901
"20"	19	"narrative"	"MORPH_PERSON_3"	29765	10.1751187610782
"21"	20	"narrative"	"MORPH_TENSE_FUT"	1227	-11.2453775420333
"22"	21	"narrative"	"MORPH_TENSE_PAST"	19748	4.90174443758834
"23"	22	"narrative"	"MORPH_TENSE_PQP"	1282	2.98750262656955
"24"	23	"narrative"	"MORPH_TENSE_PRES"	29173	-1.13120615661119
"25"	24	"narrative"	"MORPH_VERBFORM_FIN"	31316	-2.65525825289958
"26"	25	"narrative"	"MORPH_VERBFORM_INF"	4546	-3.23378743307337
"27"	26	"narrative"	"MORPH_VERBFORM_PART"	15571	6.23377327741902
"28"	27	"narrative"	"MORPH_VERBFORM_SUP"	44	0.512659864472975
"29"	28	"narrative"	"MORPH_VOICE_ACT"	35909	0.199373072344334
"30"	29	"narrative"	"MORPH_VOICE_PASS"	13653	2.3462743903851
"31"	30	"narrative"	"POS_ADJ"	26957	3.3350696756431
"32"	31	"narrative"	"POS_ADP"	9058	2.11653716777905
"33"	32	"narrative"	"POS_ADV"	12384	-0.586071214511357
"34"	33	"narrative"	"POS_AUX"	1880	-5.26539807112326
"35"	34	"narrative"	"POS_CCONJ"	22762	3.2114226608981
"36"	35	"narrative"	"POS_DET"	9246	-7.49820824792618
"37"	36	"narrative"	"POS_INTJ"	249	-7.42608179563611
"38"	37	"narrative"	"POS_NOUN"	67421	3.4215307457032
"39"	38	"narrative"	"POS_PART"	2035	-4.07858165197596
"40"	39	"narrative"	"POS_PRON"	4888	-15.0473577354441
"41"	40	"narrative"	"POS_PROPN"	12429	3.01978610131809
"42"	41	"narrative"	"POS_SCONJ"	3646	-3.00847115266096
"43"	42	"narrative"	"POS_VERB"	49529	1.46529519496071
"44"	43	"speech"	"MORPH_CASE_ABL"	14719	-7.89413432666373
"45"	44	"speech"	"MORPH_CASE_ACC"	26101	0.827448395266422
"46"	45	"speech"	"MORPH_CASE_DAT"	4474	6.81056148301964
"47"	46	"speech"	"MORPH_CASE_GEN"	6335	0.359048462088131
"48"	47	"speech"	"MORPH_CASE_LOC"	43	0.865410286434388
"49"	48	"speech"	"MORPH_CASE_NOM"	23398	-0.983095583166522
"50"	49	"speech"	"MORPH_CASE_VOC"	948	8.17690076822596
"51"	50	"speech"	"MORPH_GENDER_FEM"	24454	-1.14727811720165
"52"	51	"speech"	"MORPH_GENDER_MASC"	28598	-5.627275105666
"53"	52	"speech"	"MORPH_GENDER_NEUT"	19286	-0.0973991710774654
"54"	53	"speech"	"MORPH_MOOD_GDV"	250	2.36513874536643
"55"	54	"speech"	"MORPH_MOOD_GER"	149	0.0758436392616799
"56"	55	"speech"	"MORPH_MOOD_IMP"	2139	15.3373319489193
