idx	token	lemma	dialogism_score
0	at	at	0.1606357004642853
1	non	non	0.41864799612008574
2	in	in	0.1978304838181022
3	pharia	pharia	0.26062014112823756
4	manes	maneo	0.3712518590122154
5	iacuere	iaceo	0.23811629517986854
6	fauilla	fauilla	0.20865663975654844
7	nec	neque	0.2829151588008186
8	cinis	cinis	0.25871823769423186
9	exiguus	exiguus	0.23324811376621407
10	tantam	tantus	0.3632658018373798
11	conpescuit	compesco	0.2386770684037392
12	umbram	umbra	0.24678373010990648
13	prosiluit	prosilio	0.19101422105690824
14	busto	bustum	0.2286286963790729
15	semusta	semustus	0.23640037117538065
16	que	que	0.2012336315258229
17	membra	membrum	0.2161167073166522
18	relinquens	relinquo	0.24069646796860658
19	degenerem	degener	0.2671668058406764
20	que	que	0.2012336315258229
21	rogum	rogus	0.2386925815319514
22	sequitur	sequor	0.24065586947726203
23	conuexa	conuexus	0.2478369234575559
24	tonantis	tono	0.23855989347334483
25	qua	qua	0.28888361284606867
26	niger	niger	0.20639587745435747
27	astriferis	astrifer	0.2202806993661794
28	conectitur	conecto	0.22217076698015573
29	axibus	axis	0.21456831012598562
30	aer	aer	0.2028282772233796
31	quodque	quisque	0.28850703265727246
32	patet	pateo	0.2222757529588352
33	terras	terra	0.2647419532795139
34	inter	inter	0.18322509933303344
35	lunae	luna	0.2257268795485004
36	que	que	0.2012336315258229
37	meatus	meatus	0.2563387948579201
38	semidei	semides	0.2439513416543817
39	manes	maneo	0.3074196783285108
40	habitant	habito	0.24785280903285456
41	quos	qui	0.40175079268290337
42	ignea	igneus	0.2294138444825649
43	uirtus	uirtus	0.27612282785519643
44	innocuos	innocuus	0.23298040519626412
45	uita	uita	0.28654465641305227
46	patientes	patior	0.2583116448285028
47	aetheris	aether	0.19113433422434764
48	imi	imus	0.24590287184173093
49	fecit	facio	0.23998457755906463
50	et	et	0.15833624089312415
51	aeternos	aeternus	0.26458932032552873
52	animam	anima	0.29762868086169125
53	collegit	colligo	0.19712133776948793
54	in	in	0.1978304838181022
55	orbes	orbis	0.22439739476224693
56	non	non	0.41864799612008574
57	illuc	illic	0.2614751667984639
58	auro	aurum	0.18434785254331865
59	positi	pono	0.21594293416443483
60	nec	neque	0.2829151588008186
61	ture	tus	0.2126884228530802
62	sepulti	sepelio	0.23011922536022414
63	perueniunt	peruenio	0.23776567306641339
64	illic	illic	0.2614751667984639
65	postquam	postquam	0.2320209769739487
66	se	sui	0.20014995987546627
67	lumine	lumen	0.1969634278589538
68	uero	uero	0.1912936845066331
69	inpleuit	impleo	0.17706899959696223
70	stellas	stella	0.2373223854624759
71	que	que	0.2012336315258229
72	uagas	uago	0.22954138393003037
73	miratus	miror	0.20258936531959
74	et	et	0.15833624089312415
75	astra	astrum	0.25095284046112454
76	fixa	figo	0.20137920359964667
77	polis	polus	0.2089053832774578
78	uidit	uideo	0.24042353528065852
79	quanta	quantus	0.3117936464923038
80	sub	sub	0.2257075636269553
81	nocte	nox	0.19630855228866928
82	iaceret	iaceo	0.26904809540650454
83	nostra	noster	0.5047294415688401
84	dies	dies	0.23289740198284148
85	risit	rideo	0.21604119731686472
86	que	que	0.2012336315258229
87	sui	sui	0.1920571993373194
88	ludibria	ludibrium	0.2588519265229023
89	trunci	truncus	0.20103783753720889
90	hinc	hinc	0.23329927088887015
91	super	super	0.1891739530801819
92	emathiae	emathia	0.2616653990025134
93	campos	campus	0.20867139176361377
94	et	et	0.15833624089312415
95	signa	signum	0.23320731485829266
96	cruenti	cruentus	0.23171400431078404
97	caesaris	caesar	0.24877964761453203
98	ac	ac	0.15864200912649323
99	sparsas	spargo	0.19704121063783764
100	uolitauit	uolito	0.22772329190670684
101	in	in	0.1978304838181022
102	aequore	aequor	0.19835742767261574
103	classes	classis	0.2458831730238092
104	et	et	0.15833624089312415
105	scelerum	scelus	0.28138137928170914
106	uindex	uindex	0.2340963862648891
107	in	in	0.1978304838181022
108	sancto	sanctus	0.22472567832297483
109	pectore	pectus	0.17834214974671095
110	bruti	brutum	0.21549655265091247
111	sedit	sedeo	0.19515639362013032
112	et	et	0.15833624089312415
113	inuicti	inuictus	0.23125463363176785
114	posuit	pono	0.22559471933011574
115	se	sui	0.20014995987546627
116	mente	mens	0.23351777026889114
117	catonis	cato	0.23554938724960434
118	ille	ille	0.22548811421451656
119	ubi	ubi	0.27559131882881843
120	pendebant	pendo	0.21029248654656002
121	casus	casus	0.2548304129594036
122	dubium	dubius	0.23643858596417872
123	que	que	0.2012336315258229
124	manebat	maneo	0.2861674954649077
125	quem	qui	0.40807426186120543
126	dominum	dominus	0.23579789577844867
127	mundi	mundus	0.25188667932710695
128	facerent	facio	0.26368955586764115
129	ciuilia	ciuilis	0.2592879624796505
130	bella	bellum	0.2873119181044336
131	oderat	odi	0.23367718718071417
132	et	et	0.15833624089312415
133	magnum	magnus	0.2795751249037022
134	quamuis	quamuis	0.30154044275768344
135	comes	comes	0.2163235147249964
136	isset	eo	0.28061398784979874
137	in	in	0.1978304838181022
138	arma	arma	0.24886190800705116
139	auspiciis	auspicium	0.2257073658604743
140	raptus	rapio	0.20374266885380232
141	patriae	patria	0.3171286983860965
142	ductu	ductus	0.21739921421097042
143	que	que	0.2012336315258229
144	senatus	senatus	0.2229214853258596
145	at	at	0.1606357004642853
146	post	post	0.23400430681384726
147	thessalicas	thessalicus	0.25469387355528694
148	clades	clades	0.24399908351184088
149	iam	iam	0.2423169147710674
150	pectore	pectus	0.17834214974671095
151	toto	totus	0.23371265276574277
152	pompeianus	pompeianus	0.12880528110062514
153	erat	sum	0.39446734537716976
154	patriam	patria	0.3187570644628495
155	tutore	tutor	0.2074985778422529
156	carentem	careo	0.26548456022268163
157	excepit	excipio	0.2053886197294712
158	populi	populus	0.22816971735396674
159	trepidantia	trepido	0.23753451815666426
160	membra	membrum	0.2161167073166522
161	refouit	refoueo	0.23061296626483468
162	ignauis	ignauus	0.22157284703519536
163	manibus	manus	0.203517708708326
164	proiectos	proicio	0.21993464817110125
165	reddidit	reddo	0.25108962830025944
166	enses	ensis	0.18935821157836374
167	nec	neque	0.2829151588008186
168	regnum	regnum	0.32504068335516906
169	cupiens	cupio	0.24493413169757014
170	gessit	gero	0.22912007985135713
171	ciuilia	ciuilis	0.2592879624796505
172	bella	bellum	0.2873119181044336
173	nec	neque	0.2829151588008186
174	seruire	seruio	0.3114133566398123
175	timens	timeo	0.2598482053691845
176	nil	nihil	0.5376309956045434
177	causa	causa	0.2447281440744139
178	fecit	facio	0.23998457755906463
179	in	in	0.1978304838181022
180	armis	arma	0.2185418152102389
181	ille	ille	0.22548811421451656
182	sua	suus	0.226591481728214
183	totae	totus	0.2477651766404501
184	post	post	0.23400430681384726
185	magni	magnus	0.2587224555281922
186	funera	funus	0.2868618439872017
187	partes	pars	0.17100572382544102
188	libertatis	libertas	0.2503010343926291
189	erant	sum	0.3902516992583017
190	quas	qui	0.4173252507543872
191	ne	ne	0.4182298357594052
192	per	per	0.19585738350308546
193	litora	litus	0.22302933788088103
194	fusas	fundo	0.1672518702266479
195	colligeret	colligo	0.2244397270370942
196	rapido	rapidus	0.16645224709525225
197	uictoria	uictoria	0.2445321330734867
198	caesaris	caesar	0.24877964761453203
199	actu	actus	0.19909728300783472
200	corcyrae	corcyra	0.14904562761188558
201	secreta	secerno	0.23589464167375504
202	petit	peto	0.24791473468260355
203	ac	ac	0.15864200912649323
204	mille	mille	0.08777211825898495
205	carinis	carina	0.21181660816450046
206	abstulit	aufero	0.21061343935935078
207	emathiae	emathius	0.23851211964814098
208	secum	secus	0.189940449270729
209	fragmenta	fragmentum	0.23746686177386514
210	ruinae	ruina	0.2534581206565235
211	quis	quis	0.45278352088249413
212	ratibus	ratis	0.20180970910388035
213	tantis	tantus	0.32662223986226546
214	fugientia	fugio	0.24783681786610984
215	crederet	credo	0.2982833630567955
216	ire	eo	0.2989716515304487
217	agmina	agmen	0.1783217441861611
218	quis	quis	0.45278352088249413
219	pelagus	pelagus	0.24737979797248427
220	uictas	uinco	0.2787711265730375
221	artasse	arto	0.236846943272388
222	carinas	carina	0.24213670096131268
223	dorida	doridus	0.12066141361198747
224	tum	tum	0.17315010599734665
225	malean	malean	0.1717661744074685
